media,title,description,url,date,year
detik,Cerita Purbaya soal Pramono Tak Banyak Omong Meski Dana Dipotong,Ada sekelumit cerita di balik pertemuan Menkeu Purbaya Yudhi Sadewa dan Gubernur DKI Jakarta Pramono Anung. Keduanya bertemu untuk membahas dana daerah.,https://news.detik.com/berita/d-8150236/cerita-purbaya-soal-pramono-tak-banyak-omong-meski-dana-dipotong,"Rabu, 08 Okt 2025 07:30 WIB",2025
detik,Mendagri Heran Gubernur Protes Purbaya Sunat TKD: Dulu Saat COVID Bisa Hemat,Mendagri Tito minta pemda efisiensi belanja akibat pemotongan transfer ke daerah. Ia ingatkan pentingnya menjaga belanja publik dan mencari pendapatan mandiri.,https://news.detik.com/berita/d-8152346/mendagri-heran-gubernur-protes-purbaya-sunat-tkd-dulu-saat-covid-bisa-hemat,"Kamis, 09 Okt 2025 11:25 WIB",2025
detik,Gubernur 'Geruduk' Kantor Purbaya Minta Transfer ke Daerah Tak Dipotong,Menteri Keuangan Purbaya Yudhi Sadewa didatangi kepala daerah yang tergabung dalam Asosiasi Pemerintah Provinsi Seluruh Indonesia (APPSI).,https://finance.detik.com/berita-ekonomi-bisnis/d-8150008/gubernur-geruduk-kantor-purbaya-minta-transfer-ke-daerah-tak-dipotong,"Rabu, 08 Okt 2025 05:58 WIB",2025
detik,"Purbaya Pede IHSG To The Moon, Siap Guyur Dana Jika Diperlukan","""Saya pikir IHSG akan cenderung naik terus mungkin 10 tahun lagi seperti yang saya bilang tadi (sentuh level 36.000). Jadi, in short IHSG to the moon,"" ujarnya.",https://finance.detik.com/bursa-dan-valas/d-8153483/purbaya-pede-ihsg-to-the-moon-siap-guyur-dana-jika-diperlukan,"Jumat, 10 Okt 2025 06:15 WIB",2025
detik,"Pesan Purbaya ke Bos Baru LPS: Tetap Kreatif, Laporan Apa Adanya",Serah Terima Jabatan (Sertijab) Ketua Dewan Komisioner (DK) Lembaga Penjamin Simpanan (LPS) dilakukan Rabu malam ini (8/10/2025).,https://finance.detik.com/moneter/d-8151664/pesan-purbaya-ke-bos-baru-lps-tetap-kreatif-laporan-apa-adanya,"Rabu, 08 Okt 2025 19:46 WIB",2025
detik,"Purbaya Sebut Masih Ada Dana Nganggur Rp 275 T di BI, Bakal Ditarik Lagi",Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan dana pemerintah yang 'nganggur' di Bank Indonesia (BI) masih mencapai Rp 275 triliun.,https://finance.detik.com/berita-ekonomi-bisnis/d-8151335/purbaya-sebut-masih-ada-dana-nganggur-rp-275-t-di-bi-bakal-ditarik-lagi,"Rabu, 08 Okt 2025 17:23 WIB",2025
detik,Video: Reaksi Purbaya soal Gubernur Keberatan Anggaran Daerahnya Dipotong,"Menkeu Purbaya akan mempertimbangkan untuk tidak memotong anggaran transfer ke daerah tahun 2026, dengan catatan Pemda memperbaiki kinerja keuangan mereka.",https://20.detik.com/detikupdate/20251010-251010005/video-reaksi-purbaya-soal-gubernur-keberatan-anggaran-daerahnya-dipotong,"Jumat, 10 Okt 2025 02:40 WIB",2025
detik,"Purbaya Datangi Balai Kota Jakarta, Ada Apa?",Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa mendatangi Balai Kota Jakarta hari ini. Ada apa?,https://news.detik.com/berita/d-8148530/purbaya-datangi-balai-kota-jakarta-ada-apa,"Selasa, 07 Okt 2025 08:22 WIB",2025
detik,Video: Pertamina Respons Purbaya Soal Tak Kunjung Bangun Kilang Minyak,Dirut PT Pertamina  Simon Aloysius Mantiri merespons pernyataan Menteri Keuangan Purbaya Yudhi Sadewa yang menyentil pihaknya tidak membangun kilang minyak.,https://20.detik.com/detikupdate/20251007-251007090/video-pertamina-respons-purbaya-soal-tak-kunjung-bangun-kilang-minyak,"Selasa, 07 Okt 2025 19:38 WIB",2025
detik,Respons Purbaya 'Digeruduk' Gubernur: Semuanya Minta Ditanggung Saya,Menkeu Purbaya Yudhi Sadewa menyebut kedatangan para Gubernur terkait pemotongan TKD merupakan hal normal. Purbaya menyebut banyak aspirasi disampaikan mereka.,https://www.detik.com/jogja/berita/d-8149483/respons-purbaya-digeruduk-gubernur-semuanya-minta-ditanggung-saya,"Selasa, 07 Okt 2025 16:08 WIB",2025
detik,"Gubernur Ramai-ramai Tolak Pemotongan TKD, Ini Kata Menkeu Purbaya",Menteri Keuangan Purbaya Yudhi Sadewa menanggapi protes APPSI terkait pemotongan anggaran TKD. Ia minta Pemda perbaiki kinerja belanja sebelum meminta tambahan.,https://www.detik.com/sumut/bisnis/d-8149394/gubernur-ramai-ramai-tolak-pemotongan-tkd-ini-kata-menkeu-purbaya,"Selasa, 07 Okt 2025 16:15 WIB",2025
detik,Purbaya Dukung Pemecatan 26 PNS Pajak: Bukan Saatnya Main-main Lagi,Sebanyak 26 pegawai Direktorat Jenderal Pajak (DJP) Kementerian Keuangan dipecat. Menteri Keuangan Purbaya Yudhi Sadewa mengungkap penyebab pemecatan itu.,https://www.detik.com/jateng/bisnis/d-8150486/purbaya-dukung-pemecatan-26-pns-pajak-bukan-saatnya-main-main-lagi,"Rabu, 08 Okt 2025 10:52 WIB",2025
detik,"Gubernur Minta Gaji ASN Daerah Ditanggung Pusat, Ini Kata Purbaya",Menteri Keuangan Purbaya Yudhi Sadewa menanggapi permintaan kepala daerah yang menginginkan agar gaji Aparatur Sipil Negara (ASN) daerah ditanggung pusat.,https://finance.detik.com/berita-ekonomi-bisnis/d-8149560/gubernur-minta-gaji-asn-daerah-ditanggung-pusat-ini-kata-purbaya,"Selasa, 07 Okt 2025 16:41 WIB",2025
